DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,RESIDENCE:Residence,EDUCATION_LEVEL:Education Level,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,SERIES_FOOTNOTE:Series footnote,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOWC_FLAG_A:SOWC flag A,OBS_FOOTNOTE:Observation footnote,OBS_STATUS:Observation Status,DATA_SOURCE:Data Source,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,FREQ_COLL:Time interval at which the source data are collected
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,60.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,66.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,39.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,14.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,15.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,13.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,15.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,18.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,12.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,16.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,23.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,21.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JOR: Jordan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,26.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_IDX: Social Institutions and Gender Index (SIGI),_T: Total,_T: Total,_T: Total,_T: Total,2019,24,,,PCNT: %,,,A: Normal value,Organisation for Economic Co-operation and Development (OECD),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,69.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,72.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,53.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,71.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,51.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,62.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,54.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,1.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,2.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,2.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,2.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,1.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,2.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,JPN: Japan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,2.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_IDX: Social Institutions and Gender Index (SIGI),_T: Total,_T: Total,_T: Total,_T: Total,2019,22.5,,,PCNT: %,,,A: Normal value,Organisation for Economic Co-operation and Development (OECD),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,78,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,68.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,64.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,75.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,62.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,71.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,59.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,5.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,4.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,6.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,4.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,5.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,2.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,3.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_IDX: Social Institutions and Gender Index (SIGI),_T: Total,_T: Total,_T: Total,_T: Total,2019,35.5,,,PCNT: %,,,A: Normal value,Organisation for Economic Co-operation and Development (OECD),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,76.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,74.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,74.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,74.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,68.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,72,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,79.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,2.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,0.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,2.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,6.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,2.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KEN: Kenya,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,4.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_IDX: Social Institutions and Gender Index (SIGI),_T: Total,_T: Total,_T: Total,_T: Total,2019,23.2,,,PCNT: %,,,A: Normal value,Organisation for Economic Co-operation and Development (OECD),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,40.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,49.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,74.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,44.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,75.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,58.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,74.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,9.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,7.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,5.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,8.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,4.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,6.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,6.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_IDX: Social Institutions and Gender Index (SIGI),_T: Total,_T: Total,_T: Total,_T: Total,2019,29.5,,,PCNT: %,,,A: Normal value,Organisation for Economic Co-operation and Development (OECD),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,82,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,83.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,68.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,80,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,89.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,76.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,87.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,0.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,0.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,0.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,0.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,0.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,0.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KHM: Cambodia,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,0.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KIR: Kiribati,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KIR: Kiribati,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KNA: Saint Kitts and Nevis,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KNA: Saint Kitts and Nevis,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KOR: Republic of Korea,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KOR: Republic of Korea,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,KOR: Republic of Korea,GN_IDX: Social Institutions and Gender Index (SIGI),_T: Total,_T: Total,_T: Total,_T: Total,2019,23.4,,,PCNT: %,,,A: Normal value,Organisation for Economic Co-operation and Development (OECD),,,
UNICEF:GENDER(1.0): Gender,KOR: Republic of Korea,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,63.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KOR: Republic of Korea,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,75.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KOR: Republic of Korea,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,56.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KOR: Republic of Korea,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,53.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KOR: Republic of Korea,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,72.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,KOR: Republic of Korea,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,53.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
